Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,,
DSSL,2018-04-11,41.20000076293945,41.20000076293945,40.0,40.95000076293945,2401,,NSE
DSSL,2018-04-12,40.95000076293945,41.900001525878906,40.0,41.0,5311,,NSE
DSSL,2018-04-13,41.0,41.45000076293945,40.0,40.45000076293945,8934,,NSE
DSSL,2018-04-16,40.95000076293945,44.45000076293945,40.95000076293945,44.45000076293945,31013,,NSE
DSSL,2018-04-17,45.099998474121094,48.0,44.0,44.20000076293945,37986,,NSE
DSSL,2018-04-18,45.0,45.400001525878906,41.04999923706055,42.849998474121094,18981,,NSE
DSSL,2018-04-19,45.900001525878906,45.900001525878906,41.0,41.75,5060,,NSE
DSSL,2018-04-20,45.0,45.0,41.0,42.400001525878906,6084,,NSE
DSSL,2018-04-23,44.599998474121094,44.599998474121094,40.54999923706055,43.650001525878906,11261,,NSE
DSSL,2018-04-24,44.0,45.0,43.0,43.849998474121094,3775,,NSE
DSSL,2018-04-25,44.5,44.5,42.099998474121094,43.75,6283,,NSE
DSSL,2018-04-26,45.0,45.0,42.79999923706055,43.150001525878906,3394,,NSE
DSSL,2018-04-27,44.5,44.900001525878906,41.0,41.29999923706055,4862,,NSE
DSSL,2018-04-30,42.45000076293945,42.45000076293945,40.0,40.75,4552,,NSE
DSSL,2018-05-02,39.099998474121094,42.20000076293945,39.099998474121094,40.45000076293945,12107,,NSE
DSSL,2018-05-03,42.54999923706055,42.54999923706055,39.400001525878906,39.400001525878906,3001,,NSE
DSSL,2018-05-04,37.0,40.45000076293945,36.70000076293945,39.0,5553,,NSE
DSSL,2018-05-07,39.150001525878906,39.650001525878906,38.04999923706055,38.54999923706055,5060,,NSE
DSSL,2018-05-08,39.0,39.900001525878906,38.099998474121094,38.900001525878906,4152,,NSE
DSSL,2018-05-09,41.25,41.25,38.5,38.849998474121094,3067,,NSE
DSSL,2018-05-10,36.79999923706055,41.0,36.75,38.54999923706055,16544,,NSE
DSSL,2018-05-11,37.400001525878906,39.70000076293945,37.150001525878906,37.95000076293945,4059,,NSE
DSSL,2018-05-14,37.099998474121094,38.95000076293945,35.5,36.20000076293945,6378,,NSE
DSSL,2018-05-15,36.25,37.5,32.75,35.0,10613,,NSE
DSSL,2018-05-16,36.349998474121094,36.349998474121094,31.850000381469727,33.900001525878906,10235,,NSE
DSSL,2018-05-17,34.75,36.0,33.400001525878906,35.70000076293945,8947,,NSE
DSSL,2018-05-18,35.900001525878906,36.0,34.25,35.95000076293945,16412,,NSE
DSSL,2018-05-21,35.599998474121094,35.70000076293945,32.54999923706055,33.0,10962,,NSE
DSSL,2018-05-22,33.0,33.0,30.100000381469727,31.700000762939453,31277,,NSE
DSSL,2018-05-23,32.0,34.849998474121094,31.450000762939453,34.849998474121094,7730,,NSE
DSSL,2018-05-24,36.0,36.0,35.0,35.400001525878906,18509,,NSE
DSSL,2018-05-25,36.75,37.0,34.0,35.29999923706055,12703,,NSE
DSSL,2018-05-28,34.150001525878906,36.5,33.95000076293945,35.20000076293945,18011,,NSE
DSSL,2018-05-29,33.599998474121094,38.70000076293945,33.54999923706055,38.650001525878906,30049,,NSE
DSSL,2018-05-30,37.5,37.95000076293945,36.54999923706055,36.849998474121094,6342,,NSE
DSSL,2018-05-31,39.0,40.0,38.0,38.650001525878906,14136,,NSE
DSSL,2018-06-01,38.5,39.0,36.29999923706055,36.650001525878906,3422,,NSE
DSSL,2018-06-04,39.45000076293945,39.45000076293945,35.04999923706055,36.5,10195,,NSE
DSSL,2018-06-05,35.04999923706055,36.0,33.150001525878906,33.20000076293945,6698,,NSE
DSSL,2018-06-06,31.25,34.20000076293945,30.25,34.0,21575,,NSE
DSSL,2018-06-07,34.0,38.900001525878906,33.0,34.75,7691,,NSE
DSSL,2018-06-08,34.5,37.0,33.20000076293945,35.099998474121094,7539,,NSE
DSSL,2018-06-11,36.45000076293945,36.45000076293945,34.900001525878906,35.29999923706055,4679,,NSE
DSSL,2018-06-12,35.25,35.400001525878906,33.650001525878906,34.5,5410,,NSE
DSSL,2018-06-13,33.20000076293945,35.0,33.20000076293945,34.70000076293945,5038,,NSE
DSSL,2018-06-14,33.400001525878906,41.54999923706055,33.400001525878906,40.5,147346,,NSE
